case_id,name,age,gender
77,Kavya Hegde,52,F
78,Savitri Achar,9,M
78,Nandini Patil,12,M
79,Santosh Rao,19,F
79,Shobha Naik,35,M
80,Nagaraj Hegde,25,M
80,Anil Reddy,54,F
81,Pooja Poojary,32,F
82,Basavaraj Shetty,22,M
82,Anitha Achar,45,F
83,Raju Reddy,65,F
84,Ganesh Rao,17,M
85,Geetha Achar,46,F
86,Anitha Achar,25,M
86,Sowmya Kumar,64,M
87,Praveen Achar,25,M
88,Ramesh Poojary,22,F
89,Suresh Rao,38,F
90,Manjunath Achar,17,M
91,Naveen Gowda,30,M
92,Chaitra Patil,12,M
93,Naveen Kumar,29,F
94,Kavya Hegde,24,M
94,Pooja Naik,12,M
95,Manjunath Shetty,28,M
95,Nagaraj Patil,50,M
96,Mahesh Naik,41,F
96,Praveen Kumar,63,M
97,Basavaraj Gowda,27,F
98,Ramesh,47,M
99,Vinay,37,F
99,Sowmya Gowda,48,M
100,Raju Gowda,61,F
101,Naveen Shetty,18,M
101,Basavaraj Reddy,8,F
102,Santosh Kumar,26,M
103,Bhavani Naik,60,F
104,Savitri Hegde,11,F
104,Prasad Reddy,17,F
105,Vinay Shetty,55,M
105,Prasad,34,M
106,Sowmya Reddy,33,F
107,Lakshmi Reddy,24,F
108,Santosh Achar,31,M
109,Savitri,27,M
109,Basavaraj Poojary,11,M
110,Anil Hegde,42,F
111,Manjula Shetty,22,F
112,Kiran Achar,17,F
113,Mahesh Achar,30,M
113,Shobha Achar,19,F
114,Savitri Shetty,11,F
114,Deepa Poojary,32,F
115,Chaitra Poojary,26,M
116,Prasad Achar,25,M
117,Suresh Achar,61,F
118,Geetha Hegde,15,M
119,Bhavani,44,F
120,Nandini,38,F
121,Naveen Naik,56,F
122,Basavaraj Reddy,68,M
122,Raju Hegde,47,M
123,Raju Shetty,31,F
123,Kavya Hegde,45,F
124,Ravi Gowda,15,M
124,Pooja Poojary,70,M
125,Naveen Kumar,39,M
125,Nagaraj Achar,65,M
126,Deepa Shetty,34,M
127,Basavaraj,32,M
127,Santosh Kumar,50,F
128,Anitha Reddy,16,F
129,Manjula Naik,69,F
129,Shivakumar Reddy,11,F
130,Santosh Achar,31,M
131,Manjula Poojary,20,M
132,Prasad Hegde,19,M
133,Shobha Naik,69,M
133,Sushma Kumar,37,M
134,Anitha Reddy,25,F
135,Bhavani Achar,64,F
136,Mahesh Kumar,37,F
137,Chaitra Hegde,69,F
137,Bhavani,28,M
138,Geetha Rao,12,F
139,Ganesh Shetty,70,F
139,Radha Rao,18,M
140,Lakshmi Gowda,63,M
141,Radha Shetty,14,M
142,Nagaraj Patil,14,F
142,Manjula,32,F
143,Anil Achar,35,F
144,Sowmya Rao,63,M
144,Nagaraj Reddy,18,F
145,Vinay Reddy,49,M
145,Basavaraj Poojary,39,M
146,Bhavani,20,M
146,Vinay Poojary,46,F
147,Kavya Achar,69,F
148,Basavaraj Kumar,9,M
149,Pooja Rao,10,F
149,Manjunath Shetty,50,M
150,Savitri Rao,49,M
150,Shobha Poojary,15,F
151,Radha Reddy,64,F
151,Anitha,27,M
152,Basavaraj Rao,70,F
152,Radha Poojary,48,F
153,Naveen Shetty,55,F
153,Basavaraj Shetty,12,F
154,Chaitra Poojary,34,M
155,Mahesh Kumar,27,F
156,Vinay Hegde,31,F
157,Pooja Patil,9,F
157,Srinivas Gowda,49,M
158,Pooja Gowda,41,M
158,Praveen Kumar,57,M
159,Shivakumar Poojary,46,F
159,Ravi Reddy,65,M
160,Anil Gowda,33,M
160,Basavaraj Kumar,23,F
161,Chaitra Patil,36,F
162,Suresh Shetty,11,F
163,Savitri Gowda,70,M
163,Shobha Rao,11,M
164,Ganesh Patil,53,F
164,Srinivas Shetty,48,M
165,Bhavani Achar,41,F
166,Shobha,12,M
167,Ramesh Naik,46,F
167,Praveen Poojary,22,M
168,Prasad Hegde,39,M
168,Savitri Kumar,35,M
169,Mahesh Reddy,40,M
169,Ravi Shetty,24,M
170,Shobha Gowda,69,F
171,Kavya Rao,39,F
171,Shivakumar Gowda,49,F
172,Kiran Gowda,47,M
173,Nagaraj Shetty,34,M
174,Shobha Poojary,53,M
175,Vinay Rao,38,F
175,Sowmya Naik,40,F
176,Mahesh,12,F
177,Savitri Hegde,44,F
177,Suresh Poojary,35,M
178,Geetha Shetty,11,M
178,Shivakumar Naik,37,M
179,Raju Patil,61,F
179,Santosh Achar,8,F
180,Deepa Reddy,21,F
180,Shobha,63,M
181,Anitha Poojary,62,F
182,Anil Patil,47,F
183,Mahesh Kumar,40,F
184,Shobha Poojary,29,F
185,Bhavani Naik,48,F
185,Nandini Kumar,52,F
186,Kiran Poojary,60,F
186,Deepa Poojary,65,M
187,Basavaraj Poojary,21,F
188,Geetha Hegde,62,F
189,Ramesh Hegde,64,F
189,Shobha Poojary,46,F
190,Pooja Shetty,30,M
191,Kiran Shetty,46,F
191,Mahesh Kumar,42,F
192,Basavaraj Naik,24,F
192,Sushma Kumar,29,M
193,Sowmya,45,M
193,Nagaraj Reddy,42,M
194,Sowmya,50,F
194,Raju Rao,30,F
195,Basavaraj,45,M
196,Deepa Kumar,51,F
197,Naveen,30,F
197,Ganesh Gowda,51,F
198,Ramesh Shetty,58,F
199,Ravi Achar,59,M
199,Chaitra Gowda,37,F
200,Savitri Rao,28,F
201,Sushma Achar,56,F
201,Sowmya Kumar,24,F
202,Lakshmi,39,F
203,Anil Reddy,54,F
203,Naveen Achar,31,M
204,Nandini Gowda,65,M
205,Anitha Gowda,40,M
205,Lakshmi Shetty,60,F
206,Manjula Hegde,48,F
206,Geetha Hegde,54,F
207,Nagaraj Poojary,42,M
207,Naveen Reddy,63,M
208,Ramesh,58,F
209,Anil,48,F
209,Kiran Rao,9,M
210,Ramesh Naik,63,M
210,Radha Hegde,36,F
211,Ramesh Poojary,35,M
212,Nandini Gowda,38,F
213,Naveen Poojary,49,F
214,Ramesh Reddy,32,M
214,Geetha Reddy,57,M
215,Santosh Shetty,19,M
216,Srinivas Poojary,28,M
216,Kiran Hegde,8,F
217,Nandini Reddy,35,F
217,Raju Reddy,18,M
218,Basavaraj Shetty,28,F
218,Manjunath Kumar,49,M
219,Santosh Poojary,35,F
219,Suresh,48,F
220,Deepa Kumar,66,M
221,Shivakumar Rao,33,M
221,Manjunath Patil,53,M
222,Savitri Gowda,46,F
222,Raju Reddy,67,M
223,Naveen Naik,57,F
224,Shobha Poojary,10,F
224,Savitri Achar,54,F
225,Anil Patil,29,F
225,Deepa Rao,19,F
226,Basavaraj Hegde,61,M
226,Ravi Gowda,16,F
227,Nagaraj Naik,49,M
227,Shivakumar Patil,45,F
228,Naveen Shetty,68,F
228,Nandini Naik,33,F
229,Vinay,35,M
230,Basavaraj Gowda,55,M
231,Kiran Kumar,42,F
231,Anil,56,F
232,Kavya Hegde,50,F
233,Lakshmi,61,M
234,Chaitra Shetty,56,M
235,Kavya Hegde,63,F
235,Nandini,14,M
236,Sowmya Gowda,67,F
236,Kavya Kumar,58,F
237,Bhavani Naik,39,F
238,Anitha,62,F
238,Radha Hegde,61,F
239,Anitha Reddy,58,M
239,Bhavani Rao,53,F
240,Savitri Gowda,17,M
241,Anil Poojary,61,M
241,Shivakumar Gowda,18,F
242,Shobha Hegde,10,F
243,Manjula Reddy,52,M
243,Manjula,41,M
244,Ramesh,55,M
245,Prasad,51,F
245,Prasad,30,F
246,Praveen Shetty,12,F
246,Lakshmi Gowda,39,F
247,Ravi Reddy,15,M
248,Chaitra Achar,36,M
249,Anitha,12,F
249,Kavya Reddy,30,F
250,Lakshmi Hegde,12,F
250,Nandini Kumar,30,M
251,Shivakumar Hegde,42,M
252,Bhavani Achar,27,M
252,Santosh Kumar,46,F
253,Srinivas Hegde,8,M
253,Kavya Achar,69,M
254,Ramesh,66,M
254,Lakshmi Shetty,22,F
255,Naveen Rao,41,M
256,Nandini Poojary,23,M
257,Bhavani Gowda,38,M
258,Praveen Hegde,19,F
259,Bhavani Hegde,55,F
259,Nandini Hegde,52,M
260,Naveen Patil,61,M
261,Geetha Rao,50,F
261,Manjunath Patil,55,F
262,Shobha Achar,15,F
262,Raju Kumar,59,F
263,Manjunath Rao,50,M
264,Lakshmi Shetty,18,M
265,Savitri Rao,17,F
265,Naveen Rao,39,F
266,Prasad Patil,53,F
267,Nandini Naik,30,M
268,Ramesh Kumar,20,M
269,Suresh Patil,21,F
270,Chaitra Reddy,41,M
270,Manjula Poojary,46,F
271,Deepa,42,F
271,Anil Poojary,56,M
272,Savitri Rao,67,F
272,Radha Hegde,12,F
273,Nandini Gowda,62,F
274,Sowmya Naik,23,F
275,Chaitra Gowda,59,F
276,Manjula Poojary,16,M
276,Shobha Gowda,11,F
277,Sushma Achar,32,F
277,Geetha Gowda,40,F
278,Radha Rao,48,F
278,Sowmya Patil,52,M
279,Anil Gowda,43,M
279,Anil Kumar,70,M
280,Santosh Achar,65,F
280,Prasad Shetty,48,F
281,Pooja Reddy,8,F
281,Ganesh,35,F
282,Sowmya Rao,54,F
282,Mahesh Gowda,21,F
283,Shivakumar Hegde,30,M
283,Ramesh Hegde,47,M
284,Mahesh Naik,63,F
284,Manjula Kumar,53,F
285,Savitri Patil,9,F
286,Radha Poojary,43,F
287,Kavya,27,M
287,Mahesh Naik,55,M
288,Nagaraj Shetty,31,M
289,Kiran Poojary,42,M
290,Lakshmi Naik,24,F
290,Nagaraj Poojary,54,M
291,Vinay Rao,17,F
292,Savitri Rao,12,F
293,Shobha Hegde,26,F
294,Radha Reddy,21,F
294,Lakshmi Achar,18,F
295,Ramesh Rao,49,M
296,Nagaraj Reddy,37,F
296,Anil Kumar,25,F
297,Bhavani Kumar,10,F
297,Anitha Naik,19,M
298,Vinay Patil,35,F
299,Shivakumar Hegde,58,F
299,Shivakumar Hegde,34,M
300,Ramesh Naik,57,M
300,Radha Achar,31,F
301,Sowmya Kumar,69,F
302,Prasad Kumar,14,F
303,Savitri Naik,10,M
304,Raju Reddy,49,F
305,Ravi Naik,60,M
306,Vinay Kumar,53,F
307,Kiran Achar,69,M
307,Pooja Reddy,24,M
308,Bhavani Gowda,56,M
308,Nandini Hegde,35,F
309,Srinivas Kumar,38,M
309,Kiran Naik,11,F
310,Santosh Naik,65,M
310,Ravi Kumar,41,F
311,Anil Kumar,21,M
312,Sowmya Gowda,21,M
313,Shobha Shetty,15,F
314,Manjunath Rao,42,F
314,Vinay Naik,40,F
315,Sowmya Kumar,34,F
315,Manjunath Patil,14,F
316,Nandini Rao,17,M
316,Santosh Poojary,41,M
317,Shivakumar,31,M
318,Mahesh Kumar,52,M
318,Raju,8,F
319,Pooja Rao,41,F
319,Geetha Rao,14,F
320,Geetha Kumar,31,F
321,Shivakumar Shetty,34,F
321,Praveen Achar,21,F
322,Shivakumar Shetty,46,F
322,Sowmya Poojary,26,M
323,Srinivas Hegde,26,F
324,Geetha Rao,58,F
325,Praveen Hegde,51,M
326,Sowmya Hegde,27,F
326,Manjula Poojary,11,M
327,Bhavani Gowda,41,F
327,Nandini Gowda,22,F
328,Sowmya Reddy,13,F
329,Suresh Shetty,17,F
330,Manjunath Kumar,33,F
330,Raju Patil,46,F
331,Ravi Hegde,10,M
332,Vinay Naik,38,M
333,Radha Achar,24,F
333,Manjunath Kumar,64,M
334,Sushma Patil,17,F
334,Shobha Kumar,68,M
335,Nandini Poojary,26,F
335,Chaitra Naik,50,M
336,Shobha Naik,53,M
336,Anitha Naik,50,M
337,Nandini Rao,12,M
338,Shobha Naik,36,M
339,Basavaraj Naik,57,M
339,Deepa Kumar,34,M
340,Pooja Gowda,34,F
341,Kiran Naik,19,M
342,Geetha Gowda,33,F
342,Pooja Naik,49,M
343,Kiran Achar,32,M
343,Anil Hegde,14,M
344,Pooja Poojary,29,M
345,Deepa Gowda,41,F
345,Anil Shetty,58,M
346,Manjula Patil,9,M
346,Lakshmi Hegde,10,M
347,Suresh Naik,15,F
348,Radha Shetty,39,F
348,Geetha Reddy,29,M
349,Praveen Shetty,32,M
350,Ravi Shetty,45,F
350,Sowmya Poojary,9,F
351,Praveen Rao,20,F
351,Sowmya Poojary,17,F
352,Lakshmi Shetty,13,F
353,Raju Kumar,67,F
353,Mahesh Patil,17,M
354,Vinay Kumar,24,M
354,Savitri Patil,57,F
355,Lakshmi Naik,11,F
355,Savitri Patil,36,F
356,Prasad Shetty,64,M
356,Santosh Achar,52,M
357,Vinay,46,M
358,Kiran Reddy,41,M
359,Kiran Hegde,34,M
359,Bhavani Naik,64,F
360,Geetha Achar,57,F
360,Manjula Patil,36,M
361,Kiran Rao,66,F
362,Basavaraj,47,M
363,Pooja Poojary,70,F
363,Deepa Poojary,27,M
364,Shobha Achar,26,F
364,Mahesh Shetty,45,M
365,Chaitra Achar,63,M
366,Savitri Reddy,40,M
366,Shobha Hegde,45,F
367,Bhavani Gowda,63,M
367,Shobha Gowda,58,F
368,Sowmya Kumar,66,F
369,Sushma Gowda,26,M
370,Vinay Poojary,33,M
370,Naveen Poojary,29,F
371,Sushma Hegde,54,F
371,Anitha Reddy,59,F
372,Pooja Reddy,16,M
373,Shobha Hegde,49,M
373,Ramesh Gowda,31,F
374,Pooja Patil,58,M
374,Manjula Rao,36,M
375,Deepa Patil,28,F
376,Chaitra Achar,20,M
377,Manjula Poojary,12,M
377,Pooja Reddy,14,M
378,Lakshmi Reddy,70,F
378,Ravi,56,M
379,Shobha,25,F
380,Kavya Achar,40,M
380,Radha Gowda,29,M
381,Anil Patil,29,F
382,Geetha Hegde,12,M
382,Nandini,45,M
383,Praveen Achar,33,F
383,Manjunath Reddy,57,M
384,Sushma Rao,44,M
385,Kavya Poojary,41,F
385,Raju Rao,64,M
386,Nagaraj Gowda,13,F
387,Basavaraj Patil,42,F
387,Lakshmi Shetty,50,M
388,Ramesh Patil,67,M
389,Manjunath Shetty,16,M
390,Nagaraj Patil,69,M
391,Manjunath Patil,23,M
392,Geetha Poojary,63,M
393,Pooja Poojary,26,M
393,Raju Patil,14,F
394,Naveen Achar,35,F
395,Basavaraj Patil,33,M
395,Mahesh Hegde,60,M
396,Prasad Hegde,69,F
396,Kavya Hegde,22,F
397,Mahesh Gowda,59,F
397,Deepa Hegde,37,F
398,Savitri Shetty,13,M
399,Naveen Hegde,48,F
400,Naveen Hegde,53,F
400,Manjunath Naik,12,F
401,Bhavani Reddy,68,F
401,Naveen Reddy,64,M
402,Pooja,58,F
403,Nandini,28,M
404,Basavaraj Rao,42,F
404,Manjula Kumar,66,F
405,Manjula Hegde,61,F
405,Kavya Naik,37,M
406,Manjunath Reddy,51,F
407,Sushma Hegde,53,M
408,Basavaraj Achar,16,M
409,Ganesh Reddy,34,F
410,Radha Gowda,24,M
411,Basavaraj Kumar,43,F
412,Ganesh Patil,49,M
412,Radha Naik,41,F
413,Ramesh Achar,13,F
414,Praveen,18,M
415,Radha Shetty,28,M
415,Savitri Naik,55,M
416,Kiran Patil,10,M
417,Suresh Gowda,55,M
417,Shivakumar,10,F
418,Manjunath Kumar,56,F
419,Pooja Gowda,36,F
419,Ganesh Patil,12,M
420,Pooja Gowda,38,M
421,Deepa Patil,22,M
422,Shivakumar,68,F
422,Suresh Patil,51,M
423,Geetha Patil,46,F
424,Kavya Patil,47,M
424,Lakshmi Naik,13,M
425,Manjunath,30,F
426,Shivakumar Hegde,44,F
427,Anitha Naik,19,M
427,Sushma,37,F
428,Prasad,57,F
428,Sowmya Reddy,24,F
429,Deepa,33,M
430,Prasad Patil,43,F
431,Anitha Poojary,49,M
431,Chaitra Kumar,34,M
432,Srinivas Kumar,68,F
433,Ganesh Poojary,41,F
433,Nandini Naik,35,M
434,Savitri Rao,51,M
435,Shobha Shetty,35,F
436,Naveen Poojary,37,F
437,Bhavani Kumar,13,F
437,Mahesh Shetty,61,M
438,Pooja Reddy,53,F
439,Praveen Patil,61,M
440,Geetha Hegde,14,F
440,Shobha Rao,34,M
441,Radha Kumar,62,F
441,Basavaraj Reddy,61,F
442,Mahesh Shetty,24,M
443,Nagaraj Achar,27,F
444,Prasad Kumar,36,M
445,Basavaraj Rao,60,F
445,Vinay,70,M
446,Anitha Hegde,21,M
447,Sowmya Poojary,30,M
448,Raju Patil,68,F
448,Sowmya,16,F
449,Pooja Reddy,39,M
450,Pooja Poojary,24,F
450,Geetha Naik,30,F
451,Geetha Reddy,34,M
451,Chaitra Patil,28,M
452,Sushma Kumar,17,M
453,Nandini Shetty,43,F
454,Bhavani Shetty,14,F
455,Vinay Shetty,12,M
455,Nagaraj,29,F
456,Naveen,43,M
457,Deepa Hegde,11,M
458,Prasad Achar,30,M
459,Lakshmi Gowda,39,F
460,Basavaraj Reddy,53,M
460,Santosh,12,F
461,Sowmya,63,F
461,Sushma Shetty,15,F
462,Nandini Kumar,62,F
462,Ramesh Shetty,25,F
463,Nandini,62,M
463,Naveen Gowda,62,M
464,Santosh,69,F
464,Bhavani Shetty,13,F
465,Nandini Naik,27,F
465,Nandini Gowda,15,F
466,Mahesh Rao,10,M
466,Ramesh Reddy,37,F
467,Naveen Poojary,8,M
467,Naveen Rao,15,F
468,Sowmya Gowda,21,F
468,Raju Gowda,25,M
469,Savitri Hegde,38,F
469,Manjula Shetty,31,F
470,Bhavani Kumar,38,F
471,Manjunath Poojary,60,M
471,Shivakumar Hegde,13,M
472,Shivakumar,16,M
472,Mahesh Gowda,40,F
473,Sowmya Hegde,42,F
474,Sushma Shetty,22,M
474,Lakshmi Poojary,43,M
475,Lakshmi Achar,17,M
475,Shobha Patil,27,F
476,Nandini Poojary,39,M
476,Prasad Naik,46,F
477,Kavya Gowda,59,F
477,Anitha Rao,14,M
478,Prasad Reddy,61,M
478,Shivakumar Patil,69,F
479,Pooja Kumar,21,M
480,Srinivas Rao,53,M
481,Ganesh Kumar,55,F
482,Pooja Kumar,30,M
483,Deepa Patil,69,F
484,Sowmya Reddy,38,M
484,Manjula Achar,33,F
485,Nandini Patil,23,M
485,Prasad,31,M
486,Chaitra Kumar,66,F
487,Santosh Gowda,56,M
488,Bhavani Reddy,11,M
489,Raju Poojary,66,M
490,Geetha Patil,68,F
491,Bhavani Naik,38,M
491,Shobha,28,F
492,Santosh Patil,9,F
493,Lakshmi Hegde,36,F
494,Mahesh Kumar,57,M
495,Manjunath,59,F
495,Sushma Gowda,60,F
496,Geetha Kumar,11,F
496,Kiran Shetty,52,M
497,Chaitra Poojary,63,M
497,Ravi Poojary,55,F
498,Radha Achar,63,M
498,Naveen Gowda,55,M
499,Ravi Reddy,70,M
500,Radha Poojary,51,F
501,Ravi Kumar,29,F
501,Naveen Kumar,48,F
502,Geetha Achar,45,F
503,Geetha Poojary,61,M
504,Chaitra Achar,11,F
505,Ravi Achar,62,M
505,Ravi,49,M
506,Basavaraj,15,F
506,Sowmya Gowda,49,F
507,Praveen Hegde,34,M
507,Pooja Gowda,14,M
508,Anitha Hegde,54,F
509,Pooja Kumar,17,F
509,Santosh Naik,41,F
510,Santosh Achar,44,M
510,Sushma Achar,62,M
511,Raju Naik,47,F
511,Srinivas Rao,16,F
512,Ramesh Shetty,50,F
512,Chaitra Naik,42,F
513,Sushma Reddy,43,M
513,Ganesh Hegde,65,M
514,Santosh Gowda,12,F
515,Kavya Kumar,64,M
516,Nagaraj Gowda,49,F
516,Nandini Reddy,12,M
517,Sushma Achar,65,F
518,Srinivas Gowda,12,F
519,Mahesh Naik,26,M
519,Mahesh Patil,61,F
520,Praveen Patil,53,M
520,Nandini,44,M
521,Lakshmi Poojary,31,M
521,Vinay Patil,55,F
522,Ganesh Reddy,44,M
523,Sowmya Achar,49,M
524,Pooja Kumar,53,M
524,Srinivas Achar,70,F
525,Pooja Gowda,62,F
525,Santosh Rao,51,F
526,Vinay Naik,42,M
527,Ramesh Poojary,23,M
528,Ganesh Shetty,21,F
528,Manjunath Rao,8,F
529,Sowmya Gowda,58,M
529,Bhavani Hegde,31,M
530,Nandini Achar,8,M
531,Lakshmi Gowda,50,M
532,Naveen Gowda,12,F
533,Shobha Rao,11,M
534,Basavaraj Kumar,28,F
535,Nandini Rao,53,F
536,Sowmya Patil,58,F
537,Anil Hegde,23,F
537,Geetha Naik,16,M
538,Geetha Rao,61,M
538,Lakshmi Naik,47,F
539,Ganesh Reddy,38,M
539,Geetha Poojary,31,F
540,Prasad Reddy,31,F
540,Chaitra Rao,9,M
541,Srinivas Patil,27,M
541,Radha Rao,32,M
542,Geetha Poojary,60,M
543,Kiran Achar,60,F
543,Chaitra Patil,70,M
544,Deepa Patil,24,F
544,Sushma Hegde,16,F
545,Nandini Poojary,38,M
546,Nagaraj Patil,12,M
547,Naveen Hegde,65,F
547,Savitri Gowda,12,F
548,Ramesh Hegde,38,F
549,Anil Hegde,57,M
550,Sowmya Patil,41,M
551,Shivakumar,45,M
552,Sushma Kumar,54,M
553,Santosh Patil,39,M
554,Chaitra Reddy,39,F
554,Bhavani Reddy,53,M
555,Shivakumar Poojary,38,M
555,Shivakumar Achar,57,F
556,Deepa Shetty,28,F
556,Vinay Reddy,30,F
557,Geetha Gowda,30,F
557,Manjula Achar,10,F
558,Geetha Gowda,49,M
558,Basavaraj Shetty,60,M
559,Ravi Naik,49,M
560,Deepa Gowda,35,M
561,Manjunath Hegde,25,F
562,Geetha Rao,53,F
562,Pooja Patil,31,M
563,Bhavani Hegde,40,M
563,Shobha Patil,59,M
564,Basavaraj,32,M
565,Pooja Patil,61,M
566,Ganesh Achar,24,F
566,Shivakumar Reddy,48,M
567,Kavya Hegde,56,M
567,Bhavani Kumar,33,F
568,Ramesh Achar,60,F
569,Manjunath Naik,41,F
570,Geetha Rao,29,F
570,Geetha Poojary,30,F
571,Sowmya Rao,39,M
571,Basavaraj Achar,37,M
572,Manjula Kumar,42,M
573,Radha Achar,13,M
574,Mahesh Poojary,15,M
574,Manjunath Kumar,28,M
575,Anil Gowda,62,F
576,Praveen Patil,49,F
576,Prasad Hegde,22,F
577,Anil Kumar,70,M
578,Nandini Patil,43,M
578,Anil,14,F
579,Manjula Rao,44,F
579,Srinivas Shetty,70,M
580,Vinay,24,M
580,Nagaraj Shetty,49,F
581,Manjula Patil,10,M
581,Shobha Patil,53,F
582,Mahesh Gowda,32,M
582,Manjunath Naik,14,M
583,Shivakumar Kumar,26,M
584,Chaitra Kumar,51,F
584,Kavya Shetty,27,M
585,Manjula,28,M
586,Praveen Poojary,12,F
586,Santosh Naik,54,F
587,Sushma Hegde,15,F
587,Geetha Poojary,37,M
588,Ravi Patil,56,M
588,Manjunath Shetty,59,M
589,Pooja Kumar,46,M
589,Anitha Gowda,14,F
590,Praveen Kumar,47,F
591,Prasad Gowda,13,F
591,Basavaraj Rao,13,F
592,Suresh Achar,60,F
592,Sowmya,43,M
593,Deepa Kumar,42,F
594,Shobha Hegde,38,F
594,Kiran Naik,70,M
595,Radha,18,F
595,Vinay Gowda,51,F
596,Nagaraj Reddy,9,M
597,Raju Poojary,9,F
598,Shivakumar Hegde,33,F
598,Ravi Reddy,40,F
599,Nandini Hegde,62,M
599,Sowmya Shetty,12,M
600,Sowmya Achar,32,F
600,Anil Patil,45,F
601,Savitri Naik,19,M
602,Shivakumar Hegde,31,F
602,Ravi Gowda,42,M
603,Anitha Achar,20,F
603,Shobha Patil,69,M
604,Anitha Hegde,34,F
605,Bhavani,46,M
605,Geetha Hegde,34,M
606,Shivakumar Shetty,8,M
606,Srinivas Reddy,46,M
607,Lakshmi,69,M
607,Savitri Patil,13,F
608,Suresh Reddy,28,M
609,Ganesh Rao,66,M
609,Shobha Shetty,20,F
610,Prasad Patil,18,M
611,Mahesh Poojary,20,M
611,Suresh Poojary,12,F
612,Chaitra Hegde,25,F
612,Bhavani Patil,28,M
613,Bhavani Poojary,43,F
614,Praveen Shetty,50,M
615,Ravi Hegde,9,F
615,Deepa Kumar,56,F
616,Sowmya Kumar,52,F
617,Manjunath Reddy,29,M
617,Praveen Poojary,59,M
618,Chaitra Patil,31,F
619,Praveen Hegde,28,M
619,Suresh Naik,9,M
620,Ramesh Gowda,29,F
620,Shivakumar Gowda,63,F
621,Kiran Achar,61,M
622,Savitri Reddy,62,F
622,Geetha Reddy,61,M
623,Sowmya Naik,24,M
624,Manjula Patil,59,M
624,Mahesh Naik,13,F
625,Geetha Naik,50,M
626,Anil Achar,15,M
626,Savitri Gowda,14,M
627,Suresh Rao,53,F
627,Suresh Gowda,56,F
